wqdt,bCod,bTn
2019-01-01,14.4,10.37
2019-01-02,14.0,10.181
2019-01-03,12.2,9.746
2019-01-04,12.6,8.88
2019-01-05,15.0,9.691
2019-01-06,17.7,14.623
2019-01-07,18.2,20.472
2019-01-08,15.0,17.249
2019-01-09,12.5,11.237
,12.1,12.13
2019-01-11,12.6,7.985
,13.2,10.126
2019-01-13,13.4,8.393
2019-01-14,12.9,8.446
2019-01-15,12.4,8.203
2019-01-16,11.7,4.058
2019-01-17,12.7,4.356
2019-01-18,12.7,5.438
2019-01-19,14.1,6.144
2019-01-20,15.6,6.036
2019-01-21,13.8,6.415
2019-01-22,12.5,9.014
2019-01-23,13.5,7.174
2019-01-24,12.9,6.386
2019-01-25,12.4,6.144
2019-01-26,12.0,6.847
2019-01-27,13.1,5.981
2019-01-28,13.2,6.007
2019-01-29,11.6,7.037
2019-01-30,13.0,5.114
2019-01-31,13.2,4.085
2019-02-01,13.9,3.353
2019-02-02,13.3,3.218
2019-02-03,13.1,6.252
2019-02-04,14.4,10.884
2019-02-05,13.5,14.323
2019-02-06,14.7,11.426
2019-02-07,15.0,9.854
2019-02-08,14.0,6.334
2019-02-09,14.2,2.974
2019-02-10,13.4,3.353
2019-02-11,14.4,3.382
2019-02-12,14.8,2.813
2019-02-13,13.8,5.928
2019-02-14,12.8,4.274
2019-02-15,12.9,5.249
2019-02-16,13.8,6.766
2019-02-17,14.7,4.519
2019-02-18,15.0,6.766
2019-02-19,13.8,6.415
2019-02-20,12.5,4.217
2019-02-21,13.0,5.167
2019-02-22,12.8,4.572
2019-02-23,13.1,5.386
2019-02-24,13.3,4.519
2019-02-25,12.6,5.791
2019-02-26,12.9,5.981
2019-02-27,12.6,5.575
2019-02-28,13.4,2.378
2019-03-01,13.9,2.784
2019-03-02,14.0,4.464
2019-03-03,14.1,5.628
2019-03-04,14.3,4.464
2019-03-05,13.8,3.95
2019-03-06,13.4,4.978
2019-03-07,13.3,3.245
2019-03-08,12.7,4.709
2019-03-09,14.3,6.794
2019-03-10,14.0,2.758
2019-03-11,13.3,5.33
2019-03-12,13.8,6.576
2019-03-13,13.3,6.739
2019-03-14,13.8,6.334
2019-03-15,13.6,4.87
2019-03-16,12.7,5.494
2019-03-17,13.1,6.226
2019-03-18,13.3,4.654
2019-03-19,14.1,4.598
2019-03-20,17.6,8.364
2019-03-21,16.5,7.363
2019-03-22,14.1,2.405
2019-03-23,13.5,4.03
2019-03-24,16.5,8.338
2019-03-25,14.6,3.163
2019-03-26,14.5,3.461
